epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4228,1.74454,3.51157,1.81025,0.00268,0.7774,0.08876,0.01868,2.49998,2.9374,3.12576,0.000548543,0.000548543,0.000548543
2,48.5627,1.81807,3.09904,1.81479,0.16461,0.30096,0.10358,0.03711,1.96771,2.68053,2.65455,0.00104955,0.00104955,0.00104955
3,68.5417,1.84565,2.90669,1.81361,0.22866,0.44583,0.19784,0.06317,1.95937,2.57888,2.8349,0.00149555,0.00149555,0.00149555
4,88.3815,1.80066,2.68434,1.79302,0.22663,0.648,0.18111,0.07894,1.89797,2.52268,2.43715,0.00141945,0.00141945,0.00141945
5,108.198,1.77989,2.61561,1.76952,0.15414,0.67233,0.17241,0.05214,2.31369,2.59192,2.65407,0.00133693,0.00133693,0.00133693
6,128.424,1.76962,2.56627,1.73347,0.06496,0.69483,0.10438,0.03459,2.068,2.71458,2.56384,0.00125442,0.00125442,0.00125442
7,148.359,1.7337,2.4833,1.74409,0.28334,0.64538,0.23208,0.10151,1.95448,2.13489,2.40231,0.0011719,0.0011719,0.0011719
8,169.113,1.74686,2.48775,1.70989,0.27907,0.66765,0.22571,0.10443,1.78156,2.15708,2.2364,0.00108938,0.00108938,0.00108938
9,189.87,1.70824,2.44367,1.70646,0.21837,0.6946,0.21259,0.09743,1.78684,2.25095,2.23018,0.00100687,0.00100687,0.00100687
10,210.126,1.67041,2.44864,1.67302,0.26837,0.69632,0.22974,0.10654,1.78179,2.11984,2.22009,0.000924352,0.000924352,0.000924352
11,262.886,1.76122,2.49547,1.86024,0.2166,0.70543,0.19477,0.08828,1.83077,2.22089,2.30439,0.000841835,0.000841835,0.000841835
12,283.437,1.80088,2.44711,1.85111,0.28707,0.64133,0.23216,0.09985,1.9385,2.26245,2.37592,0.000759318,0.000759318,0.000759318
13,303.332,1.75664,2.40697,1.82604,0.13476,0.66509,0.11633,0.05281,1.92188,2.60259,2.23374,0.000676802,0.000676802,0.000676802
14,322.962,1.74701,2.36006,1.82429,0.20591,0.70629,0.1879,0.0869,1.84924,2.21693,2.18596,0.000594286,0.000594286,0.000594286
15,343.067,1.73355,2.30196,1.80855,0.20594,0.6513,0.17266,0.08306,1.83621,2.34157,2.20731,0.000511769,0.000511769,0.000511769
16,363.075,1.71831,2.266,1.80729,0.21425,0.64663,0.18158,0.08582,1.79124,2.24842,2.17981,0.000429253,0.000429253,0.000429253
17,383.62,1.71992,2.25931,1.82084,0.18375,0.70309,0.16509,0.07532,1.82914,2.30396,2.21332,0.000346736,0.000346736,0.000346736
18,405.639,1.6849,2.22539,1.79623,0.20208,0.68931,0.17441,0.07886,1.88664,2.25144,2.18936,0.00026422,0.00026422,0.00026422
19,429.021,1.68535,2.2039,1.74179,0.19829,0.64982,0.16772,0.08059,1.83173,2.31207,2.15845,0.000181703,0.000181703,0.000181703
20,450.11,1.66419,2.16779,1.76606,0.19482,0.68359,0.16866,0.07987,1.81961,2.28257,2.15593,9.91865e-05,9.91865e-05,9.91865e-05
