epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1253,1.74454,3.51157,1.81025,0.00268,0.7774,0.08876,0.01868,2.49998,2.9374,3.12576,0.000548543,0.000548543,0.000548543
2,47.249,1.83365,3.10901,1.81151,0.10457,0.30499,0.10725,0.02468,2.77235,2.82611,3.7654,0.00108235,0.00108235,0.00108235
3,66.3188,1.8576,2.90813,1.82127,0.26089,0.47644,0.20152,0.07955,2.07814,2.47292,2.78054,0.00159414,0.00159414,0.00159414
4,85.2747,1.82818,2.70362,1.79883,0.20296,0.51662,0.15922,0.06315,1.87925,2.77599,2.40972,0.00156798,0.00156798,0.00156798
5,104.599,1.79725,2.64775,1.79293,0.19598,0.50082,0.16108,0.0587,2.28602,2.64978,2.69057,0.00153497,0.00153497,0.00153497
6,126.174,1.79517,2.56766,1.7695,0.2083,0.68549,0.19315,0.08366,1.87604,2.28399,2.45256,0.00150197,0.00150197,0.00150197
7,147.817,1.77036,2.47934,1.77315,0.27483,0.68611,0.22681,0.10402,1.88553,2.12825,2.45931,0.00146896,0.00146896,0.00146896
8,169.234,1.77954,2.50341,1.73302,0.30456,0.68993,0.23673,0.1108,1.88695,2.10013,2.26855,0.00143595,0.00143595,0.00143595
9,190.546,1.76287,2.47466,1.73879,0.31088,0.66532,0.25833,0.11926,2.01525,2.10986,2.41505,0.00140295,0.00140295,0.00140295
10,211.752,1.74636,2.49441,1.72455,0.25743,0.65887,0.21468,0.09607,1.91525,2.29849,2.33409,0.00136994,0.00136994,0.00136994
11,233.832,1.71229,2.44644,1.7049,0.20284,0.71158,0.16591,0.07032,1.95052,2.37561,2.37357,0.00133693,0.00133693,0.00133693
12,255.311,1.73374,2.46344,1.70791,0.22037,0.6672,0.18568,0.0768,1.97987,2.30537,2.40179,0.00130393,0.00130393,0.00130393
13,276.812,1.67647,2.40119,1.66742,0.21302,0.47377,0.15355,0.07074,1.8472,2.46919,2.31065,0.00127092,0.00127092,0.00127092
14,297.876,1.64797,2.35817,1.68512,0.24053,0.68697,0.20683,0.09708,1.90239,2.0658,2.32324,0.00123791,0.00123791,0.00123791
15,319.149,1.66425,2.35494,1.68236,0.2257,0.65768,0.18806,0.08618,2.0086,2.28774,2.3337,0.00120491,0.00120491,0.00120491
16,340.274,1.63486,2.34854,1.65944,0.16731,0.69016,0.14657,0.06845,1.84531,2.36127,2.21458,0.0011719,0.0011719,0.0011719
17,362.227,1.60235,2.34712,1.65182,0.21563,0.69546,0.1856,0.08434,1.91521,2.10961,2.34565,0.00113889,0.00113889,0.00113889
18,384.005,1.64677,2.35125,1.69483,0.30664,0.6931,0.24471,0.10707,1.92865,2.19282,2.3237,0.00110589,0.00110589,0.00110589
19,405.695,1.66383,2.34661,1.66102,0.18057,0.72241,0.15837,0.06064,2.01727,2.37574,2.29225,0.00107288,0.00107288,0.00107288
